gene,baseMean_all,baseMean_LG3-LG6-LG9,baseMean_LG2-LG5-LG8,foldChange,log2FoldChange,pval,padj
SLC25A1,836.443507702103,1240.66715728918,432.219858115023,0.348376964422439,-1.52127886248969,0.000292697570675679,0.0999882341825371
LOC100652736,133.071534953471,46.8818185956888,219.261251311254,4.67689304466138,2.22555043630422,0.000319747142350549,0.107548181126309
NKX2-2,751.788459940801,1107.64860301833,395.928316863269,0.357449389440268,-1.48418910690505,0.00033104225946612,0.109660256344057
LOC100506057,108.457056854542,40.7607721710341,176.153341538051,4.3216389718748,2.11157855501991,0.000359838631316763,0.117420179051916
IL4I1,69.483747316913,31.7264299965073,107.241064637319,3.38018064588813,1.75710035004675,0.000387253100100297,0.124507566580776
LOC340544,31.3249241449721,9.87414565919801,52.7757026307463,5.34483736135535,2.4181460486874,0.000396418132476953,0.125607096091937
TBC1D22B,631.867602835219,927.627522751539,336.1076829189,0.362330434010769,-1.46462210457402,0.000415929550661691,0.126971018322671
ZNF853,352.067024563874,530.361517046991,173.772532080756,0.32764921001114,-1.60977604161005,0.000416451662661919,0.126971018322671
LOC100216546,285.206737627592,86.5505577613183,483.862917493866,5.59052338897944,2.48298335557972,0.000418145420081065,0.126971018322671
LOC339874,21.6435908810527,6.15430507891985,37.1328766831856,6.03364250017045,2.59302921777883,0.000465665052137521,0.13455013768701
SCN3B,848.792743626718,1239.05621425633,458.529272997105,0.370063333464099,-1.43415589696895,0.000469005239296016,0.13455013768701
IKBKG,107.587236188239,162.239226976698,52.9352453997791,0.326278954764633,-1.61582215936031,0.000476019745705456,0.13455013768701
HNF1A-AS1,42.3863476623959,16.7750459169601,67.9976494078318,4.05350004670235,2.01916815969227,0.000482039782659971,0.13455013768701
MFI2-AS1,39.2874890876296,15.7825048443287,62.7924733309304,3.97861264420863,1.99226544578149,0.000488281113739243,0.13455013768701
TSPAN11,79.557537440111,37.3337665997611,121.781308280461,3.26196147273391,1.70573974237353,0.00049608103886841,0.13455013768701
VBP1,752.52302830922,1101.25759147436,403.788465144084,0.366661231913502,-1.44748036083362,0.000501676494464552,0.13455013768701
VAMP1,190.263471822848,97.8013857266129,282.725557919084,2.89081341556238,1.53147549462272,0.000502934726065733,0.13455013768701
NEAT1,7158.05523381913,3906.6231460314,10409.4873216069,2.66457421985571,1.41390501892136,0.000508601364417861,0.13455013768701
ANXA10,533.456417950132,206.141566754631,860.771269145633,4.17563174034767,2.06199448254926,0.000508862960498016,0.13455013768701
TSPAN1,649.958925847486,286.104479853306,1013.81337184167,3.54350750593446,1.8251781049879,0.000511607096223586,0.13455013768701
ADCY4,41.3349758656185,17.7340443053041,64.9359074259329,3.66165248648393,1.87249487693088,0.000516956116073222,0.13455013768701
PIK3R2,901.263634757776,1317.15892038616,485.368349129388,0.368496421819084,-1.44027748438364,0.000528804330695551,0.135173334781278
SNHG12,278.026424367276,408.580406527785,147.472442206766,0.360938605597911,-1.4701746343179,0.000535711816122686,0.135173334781278
SBDS,2017.37005521191,2944.22257718569,1090.51753323814,0.370392354738526,-1.43287377462249,0.000537898738781098,0.135173334781278
SYNGR4,160.747393776974,83.2164016882668,238.278385865682,2.86335843693753,1.51770827907792,0.000582250209043499,0.143161108769676
EAF1,1661.62130408644,2407.41301931833,915.829588854548,0.3804206347251,-1.39433259209536,0.000584905154262961,0.143161108769676
IFI44L,824.485212255389,23.8521964899955,1625.11822802078,68.1328542929962,6.09027874181323,0.000597729221516513,0.143161108769676
MAP3K14,794.455168051803,1253.27676951875,335.633566584852,0.267804825516499,-1.90074613838495,0.000608191171949173,0.143161108769676
TFF3,66.8575875403716,30.8861313648183,102.829043715925,3.32929503217277,1.7352167234648,0.000613045126384558,0.143161108769676
PRPH,88.528889755481,38.0939922395542,138.963787271408,3.64791871635647,1.86707358344566,0.000615206619718974,0.143161108769676
KLHL33,15.6521959499846,4.4455332417482,26.858858658221,6.04176309064304,2.59496961427846,0.000615521393420371,0.143161108769676
MTMR11,665.187928119699,367.664564831347,962.711291408052,2.61845003161961,1.38871307382586,0.00062318235603871,0.143417219474467
SETD8,709.257381678953,1030.412340996,388.102422361908,0.376647684544197,-1.40871243455154,0.000667439043141397,0.15137705769671
LOC100216545,263.368538801238,91.8707730579082,434.866304544568,4.73345646357478,2.24289405285636,0.000671617554616515,0.15137705769671
LINC00085,321.503910994063,174.489165536149,468.518656451977,2.6850873807114,1.42496903855249,0.00069754564548755,0.151505002584346
LOC595101,73.0407415574649,111.328208090812,34.7532750241181,0.312169535646971,-1.67959834205433,0.000716605394796539,0.151505002584346
ISG15,3583.55507489195,271.333802412193,6895.77634737171,25.4143652064997,4.66757229085679,0.000717871566339151,0.151505002584346
REG1B,31.2967320049012,11.7984989758568,50.7949650339456,4.30520569929165,2.10608217008631,0.000719236552861185,0.151505002584346
CD70,7.82245640755528,1.1100412828136,14.534871532297,13.093991869794,3.71083308314123,0.00071956823663492,0.151505002584346
LOC100379224,78.8948150078803,37.1551171915423,120.634512824218,3.24678057674593,1.6990098880003,0.000731079161463977,0.151505002584346
KIF5A,1398.5465489635,774.137037838071,2022.95606008893,2.61317565393645,1.38580410381819,0.000737732736131721,0.151505002584346
